Phase(F=0.0000)(P=51715.538245)),Val-,Mean-,Sigma,Num
0.713519,                -0,-0.00580933,0,1461
0.715452, -0.00999999977648,-0.00579345,0.01,1462
0.717386,                -0,-0.00577717,0,1463
0.71932,                -0,-0.00576052,0,1464
0.721253,  -0.0141421342269,-0.00574354,0.0141421,1465
0.723187, -0.00999999977648,-0.00572624,0.01,1466
0.725121,  -0.0141421342269,-0.00570866,0.0141421,1467
0.727054,                -0,-0.00569084,0,1468
0.728988,                -0,-0.0056728,0,1469
0.730922,  -0.0141421342269,-0.00565457,0.0141421,1470
0.732855, -0.00999999977648,-0.00563619,0.01,1471
0.734789,                -0,-0.00561767,0,1472
0.736722,                -0,-0.00559906,0,1473
0.738656,                -0,-0.00558039,0,1474
0.74059,  -0.0173205081373,-0.00556168,0.0173205,1475
0.742523,                -0,-0.00554296,0,1476
0.744457,                -0,-0.00552427,0,1477
0.746391,                -0,-0.00550563,0,1478
0.748324,  -0.0173205081373,-0.00548708,0.0173205,1479
0.750258,                -0,-0.00546864,0,1480
0.752192, -0.00999999977648,-0.00545035,0.01,1481
0.754125, -0.00999999977648,-0.00543223,0.01,1482
0.756059,                -0,-0.00541432,0,1483
0.757993,                -0,-0.00539665,0,1484
0.759926,                -0,-0.00537925,0,1485
0.76186,                -0,-0.00536214,0,1486
0.763794,                -0,-0.00534536,0,1487
0.765727,  -0.0141421342269,-0.00532893,0.0141421,1488
0.767661,                -0,-0.0053129,0,1489
0.769595,                -0,-0.00529728,0,1490
0.771528,                -0,-0.00528211,0,1491
0.773462, -0.00999999977648,-0.00526742,0.01,1492
0.775396,                -0,-0.00525324,0,1493
0.777329, -0.00999999977648,-0.0052396,0.01,1494
0.779263, -0.00999999977648,-0.00522653,0.01,1495
0.781197,                -0,-0.00521406,0,1496
0.78313,  -0.0141421342269,-0.00520222,0.0141421,1497
0.785064,  -0.0141421342269,-0.00519104,0.0141421,1498
0.786998, -0.00999999977648,-0.00518055,0.01,1499
0.788931,                -0,-0.00517078,0,1500
0.790865,                -0,-0.00516176,0,1501
0.792798,                -0,-0.00515353,0,1502
0.794732, -0.00999999977648,-0.0051461,0.01,1503
0.796666,                -0,-0.00513952,0,1504
0.798599,                -0,-0.00513381,0,1505
0.800533,                -0,-0.00512901,0,1506
0.802467, -0.00999999977648,-0.00512512,0.01,1507
0.8044,                -0,-0.0051221,0,1508
0.806334,                -0,-0.00511994,0,1509
0.808268, -0.00999999977648,-0.00511859,0.01,1510
0.810201, -0.00999999977648,-0.00511801,0.01,1511
0.812135,                -0,-0.00511819,0,1512
0.814069,  -0.0141421342269,-0.00511907,0.0141421,1513
0.816002, -0.00999999977648,-0.00512063,0.01,1514
0.817936,                -0,-0.00512284,0,1515
0.81987,  -0.0141421342269,-0.00512565,0.0141421,1516
0.821803,                -0,-0.00512904,0,1517
0.823737, -0.00999999977648,-0.00513298,0.01,1518
0.825671,                -0,-0.00513741,0,1519
0.827604,                -0,-0.00514233,0,1520
0.829538, -0.00999999977648,-0.00514768,0.01,1521
0.831472, -0.00999999977648,-0.00515343,0.01,1522
0.833405, -0.00999999977648,-0.00515956,0.01,1523
0.835339,                -0,-0.00516602,0,1524
0.837273,                -0,-0.00517279,0,1525
0.839206,                -0,-0.00517983,0,1526
0.84114, -0.00999999977648,-0.0051871,0.01,1527
0.843074,                -0,-0.00519457,0,1528
0.845007,                -0,-0.00520221,0,1529
0.846941,                -0,-0.00520998,0,1530
0.848874,  -0.0141421342269,-0.00521785,0.0141421,1531
0.850808,  -0.0141421342269,-0.00522579,0.0141421,1532
0.852742, -0.00999999977648,-0.00523376,0.01,1533
0.854675,                -0,-0.00524172,0,1534
0.856609,  -0.0141421342269,-0.00524965,0.0141421,1535
0.858543,                -0,-0.0052575,0,1536
0.860476, -0.00999999977648,-0.00526526,0.01,1537
0.86241,  -0.0141421342269,-0.00527287,0.0141421,1538
0.864344,  -0.0141421342269,-0.00528031,0.0141421,1539
0.866277, -0.00999999977648,-0.00528754,0.01,1540
0.868211, -0.00999999977648,-0.00529453,0.01,1541
0.870145, -0.00999999977648,-0.00530124,0.01,1542
0.872078, -0.00999999977648,-0.00530765,0.01,1543
0.874012, -0.00999999977648,-0.00531371,0.01,1544
0.875946,                -0,-0.00531939,0,1545
0.877879, -0.00999999977648,-0.00532467,0.01,1546
0.879813, -0.00999999977648,-0.00532949,0.01,1547
0.881747,                -0,-0.00533384,0,1548
0.88368,  -0.0141421342269,-0.00533768,0.0141421,1549
0.885614, -0.00999999977648,-0.00534096,0.01,1550
0.887548, -0.00999999977648,-0.00534367,0.01,1551
0.889481,                -0,-0.00534576,0,1552
0.891415, -0.00999999977648,-0.0053472,0.01,1553
0.893349,                -0,-0.00534796,0,1554
0.895282,  -0.0141421342269,-0.005348,0.0141421,1555
0.897216,                -0,-0.00534729,0,1556
0.899149, -0.00999999977648,-0.00534579,0.01,1557
0.901083,  -0.0141421342269,-0.00534347,0.0141421,1558
0.903017, -0.00999999977648,-0.00534035,0.01,1559
0.90495, -0.00999999977648,-0.00533646,0.01,1560
0.906884,                -0,-0.00533185,0,1561
0.908818,                -0,-0.00532656,0,1562
0.910751,  -0.0141421342269,-0.00532063,0.0141421,1563
0.912685, -0.00999999977648,-0.00531412,0.01,1564
0.914619,                -0,-0.00530706,0,1565
0.916552,                -0,-0.0052995,0,1566
0.918486,                -0,-0.00529148,0,1567
0.92042,                -0,-0.00528304,0,1568
0.922353,                -0,-0.00527424,0,1569
0.924287, -0.00999999977648,-0.00526511,0.01,1570
0.926221,                -0,-0.0052557,0,1571
0.928154,                -0,-0.00524605,0,1572
0.930088,                -0,-0.0052362,0,1573
0.932022, -0.00999999977648,-0.0052262,0.01,1574
0.933955,                -0,-0.0052161,0,1575
0.935889, -0.00999999977648,-0.00520594,0.01,1576
0.937823,  -0.0141421342269,-0.00519575,0.0141421,1577
0.939756,                -0,-0.0051856,0,1578
0.94169,                -0,-0.00517551,0,1579
0.943624, -0.00999999977648,-0.00516554,0.01,1580
0.945557, -0.00999999977648,-0.00515572,0.01,1581
0.947491,                -0,-0.00514611,0,1582
0.949425, -0.00999999977648,-0.00513674,0.01,1583
0.951358, -0.00999999977648,-0.00512766,0.01,1584
0.953292, -0.00999999977648,-0.00511891,0.01,1585
0.955225, -0.00999999977648,-0.00511054,0.01,1586
0.957159,  -0.0141421342269,-0.00510259,0.0141421,1587
0.959093, -0.00999999977648,-0.00509511,0.01,1588
0.961026,  -0.0141421342269,-0.00508814,0.0141421,1589
0.96296,                -0,-0.00508172,0,1590
0.964894,  -0.0173205081373,-0.0050759,0.0173205,1591
0.966827,                -0,-0.00507072,0,1592
0.968761,                -0,-0.00506622,0,1593
0.970695,  -0.0141421342269,-0.00506246,0.0141421,1594
0.972628,  -0.0141421342269,-0.00505947,0.0141421,1595
0.974562,                -0,-0.00505729,0,1596
0.976496, -0.00999999977648,-0.00505598,0.01,1597
0.978429, -0.00999999977648,-0.00505557,0.01,1598
0.980363,                -0,-0.00505611,0,1599
0.982297,                -0,-0.00505764,0,1600
0.98423, -0.00999999977648,-0.00506021,0.01,1601
0.986164,                -0,-0.00506387,0,1602
0.988098, -0.00999999977648,-0.00506864,0.01,1603
0.990031,                -0,-0.00507459,0,1604
0.991965, -0.00999999977648,-0.00508175,0.01,1605
0.993899,                -0,-0.00509017,0,1606
0.995832,                -0,-0.00509988,0,1607
0.997766, -0.00999999977648,-0.00511095,0.01,1608
0.9997, -0.00999999977648,-0.0051234,0.01,1609
0.0016332, -0.00999999977648,-0.00513727,0.01,1610
0.00356685,                -0,-0.00515255,0,1611
0.00550051,                -0,-0.00516917,0,1612
0.00743416, -0.00999999977648,-0.00518709,0.01,1613
0.00936782, -0.00999999977648,-0.00520627,0.01,1614
0.0113015,                -0,-0.00522665,0,1615
0.0132351,                -0,-0.00524818,0,1616
0.0151688,                -0,-0.00527082,0,1617
0.0171024, -0.00999999977648,-0.00529451,0.01,1618
0.0190361, -0.00999999977648,-0.00531922,0.01,1619
0.0209697,                -0,-0.00534488,0,1620
0.0229034,                -0,-0.00537145,0,1621
0.0248371,                -0,-0.00539888,0,1622
0.0267707, -0.00999999977648,-0.00542712,0.01,1623
0.0287044, -0.00999999977648,-0.00545612,0.01,1624
0.030638,                -0,-0.00548584,0,1625
0.0325717,                -0,-0.00551622,0,1626
0.0345053,                -0,-0.00554722,0,1627
0.036439,                -0,-0.00557879,0,1628
0.0383726, -0.00999999977648,-0.00561088,0.01,1629
0.0403063, -0.00999999977648,-0.00564343,0.01,1630
0.04224,                -0,-0.00567641,0,1631
0.0441736,                -0,-0.00570976,0,1632
0.0461073,                -0,-0.00574343,0,1633
0.0480409,                -0,-0.00577737,0,1634
0.0499746,  -0.0141421342269,-0.00581154,0.0141421,1635
0.0519082, -0.00999999977648,-0.00584588,0.01,1636
0.0538419,  -0.0141421342269,-0.00588036,0.0141421,1637
0.0557755, -0.00999999977648,-0.00591491,0.01,1638
0.0577092, -0.00999999977648,-0.00594949,0.01,1639
0.0596428, -0.00999999977648,-0.00598405,0.01,1640
0.0615765,                -0,-0.00601854,0,1641
0.0635102,  -0.0141421342269,-0.00605292,0.0141421,1642
0.0654438, -0.00999999977648,-0.00608712,0.01,1643
0.0673775, -0.00999999977648,-0.00612112,0.01,1644
0.0693111,                -0,-0.00615485,0,1645
0.0712448, -0.00999999977648,-0.00618826,0.01,1646
0.0731784, -0.00999999977648,-0.00622132,0.01,1647
0.0751121,                -0,-0.00625396,0,1648
0.0770457,                -0,-0.00628615,0,1649
