Frequency,Theta
8.52312e-06,0.986629
8.52773e-06,0.986586
8.53234e-06,0.985032
8.53695e-06,0.984862
8.54157e-06,0.985092
8.54618e-06,0.984965
8.55079e-06,0.984559
8.5554e-06,0.983049
8.56001e-06,0.98405
8.56462e-06,0.98599
8.56923e-06,0.98623
8.57384e-06,0.987632
8.57846e-06,0.98664
8.58307e-06,0.98691
8.58768e-06,0.986747
8.59229e-06,0.987888
8.5969e-06,0.98731
8.60151e-06,0.987011
8.60612e-06,0.986096
8.61073e-06,0.98797
8.61535e-06,0.987003
8.61996e-06,0.98776
8.62457e-06,0.987807
8.62918e-06,0.986593
8.63379e-06,0.985874
8.6384e-06,0.987378
8.64301e-06,0.987432
8.64762e-06,0.987122
8.65224e-06,0.986874
8.65685e-06,0.987763
8.66146e-06,0.989397
8.66607e-06,0.989315
8.67068e-06,0.989121
8.67529e-06,0.987139
8.6799e-06,0.987085
8.68451e-06,0.988077
8.68913e-06,0.988922
8.69374e-06,0.987815
8.69835e-06,0.988355
8.70296e-06,0.987773
8.70757e-06,0.989596
8.71218e-06,0.990302
8.71679e-06,0.989126
8.7214e-06,0.988597
8.72602e-06,0.986737
8.73063e-06,0.986262
8.73524e-06,0.987354
8.73985e-06,0.986465
8.74446e-06,0.987825
8.74907e-06,0.986375
8.75368e-06,0.986835
8.75829e-06,0.986492
8.76291e-06,0.98651
8.76752e-06,0.984945
8.77213e-06,0.982448
8.77674e-06,0.981873
8.78135e-06,0.980773
8.78596e-06,0.979691
8.79057e-06,0.979437
8.79519e-06,0.981385
8.7998e-06,0.982079
8.80441e-06,0.984218
8.80902e-06,0.985542
8.81363e-06,0.98533
8.81824e-06,0.985615
8.82285e-06,0.985176
8.82746e-06,0.983452
8.83208e-06,0.983439
8.83669e-06,0.983291
8.8413e-06,0.983222
8.84591e-06,0.982043
8.85052e-06,0.985134
8.85513e-06,0.983123
8.85974e-06,0.984418
8.86435e-06,0.984799
8.86897e-06,0.983697
8.87358e-06,0.98376
8.87819e-06,0.984682
8.8828e-06,0.985767
8.88741e-06,0.985546
8.89202e-06,0.986779
8.89663e-06,0.987819
8.90124e-06,0.987302
8.90586e-06,0.988894
8.91047e-06,0.988198
8.91508e-06,0.988839
8.91969e-06,0.988033
8.9243e-06,0.986386
8.92891e-06,0.987413
8.93352e-06,0.987828
8.93813e-06,0.987742
8.94275e-06,0.988378
8.94736e-06,0.98994
8.95197e-06,0.989002
8.95658e-06,0.989675
8.96119e-06,0.990511
8.9658e-06,0.989117
8.97041e-06,0.989318
8.97502e-06,0.988703
8.97964e-06,0.988923
8.98425e-06,0.987941
8.98886e-06,0.988276
8.99347e-06,0.98899
8.99808e-06,0.989642
9.00269e-06,0.990312
9.0073e-06,0.99021
9.01191e-06,0.989317
9.01653e-06,0.989392
9.02114e-06,0.988721
9.02575e-06,0.989338
9.03036e-06,0.98979
9.03497e-06,0.989715
9.03958e-06,0.990426
9.04419e-06,0.992007
9.0488e-06,0.990532
9.05342e-06,0.991121
9.05803e-06,0.989787
9.06264e-06,0.988391
9.06725e-06,0.988044
9.07186e-06,0.986813
9.07647e-06,0.988531
9.08108e-06,0.987991
9.0857e-06,0.987176
9.09031e-06,0.989497
9.09492e-06,0.988834
9.09953e-06,0.990535
9.10414e-06,0.990651
9.10875e-06,0.991003
9.11336e-06,0.991351
9.11797e-06,0.989648
9.12259e-06,0.990756
9.1272e-06,0.991992
9.13181e-06,0.991157
9.13642e-06,0.991244
9.14103e-06,0.993004
9.14564e-06,0.992099
9.15025e-06,0.993274
9.15486e-06,0.993465
9.15948e-06,0.990229
9.16409e-06,0.989963
9.1687e-06,0.990707
9.17331e-06,0.992995
9.17792e-06,0.99182
9.18253e-06,0.991423
9.18714e-06,0.991655
9.19175e-06,0.991463
9.19637e-06,0.991321
9.20098e-06,0.992071
9.20559e-06,0.992293
9.2102e-06,0.992563
9.21481e-06,0.992527
9.21942e-06,0.99321
9.22403e-06,0.994035
9.22864e-06,0.993489
9.23326e-06,0.993939
9.23787e-06,0.993609
9.24248e-06,0.992894
9.24709e-06,0.993525
9.2517e-06,0.992529
9.25631e-06,0.990243
9.26092e-06,0.989063
9.26553e-06,0.987463
9.27015e-06,0.987395
9.27476e-06,0.986046
9.27937e-06,0.985047
9.28398e-06,0.985525
9.28859e-06,0.984207
9.2932e-06,0.984866
9.29781e-06,0.985216
9.30242e-06,0.984919
9.30704e-06,0.986735
9.31165e-06,0.986628
9.31626e-06,0.987771
9.32087e-06,0.987826
9.32548e-06,0.986962
9.33009e-06,0.9894
9.3347e-06,0.988498
9.33932e-06,0.988201
9.34393e-06,0.988231
9.34854e-06,0.988446
9.35315e-06,0.988195
9.35776e-06,0.988852
9.36237e-06,0.988759
9.36698e-06,0.989212
9.37159e-06,0.988193
9.37621e-06,0.989938
9.38082e-06,0.990879
9.38543e-06,0.990671
9.39004e-06,0.989908
9.39465e-06,0.990656
9.39926e-06,0.989929
9.40387e-06,0.989062
9.40848e-06,0.988542
9.4131e-06,0.988396
9.41771e-06,0.987984
9.42232e-06,0.989199
9.42693e-06,0.989761
9.43154e-06,0.989977
9.43615e-06,0.990483
9.44076e-06,0.990759
9.44537e-06,0.990889
9.44999e-06,0.989783
9.4546e-06,0.990255
9.45921e-06,0.989392
9.46382e-06,0.990354
9.46843e-06,0.990762
9.47304e-06,0.99147
9.47765e-06,0.992628
9.48226e-06,0.990881
9.48688e-06,0.990994
9.49149e-06,0.991646
9.4961e-06,0.990487
9.50071e-06,0.989427
9.50532e-06,0.988141
9.50993e-06,0.98752
9.51454e-06,0.987091
9.51915e-06,0.98829
9.52377e-06,0.989781
9.52838e-06,0.989273
9.53299e-06,0.989596
9.5376e-06,0.988951
9.54221e-06,0.989199
9.54682e-06,0.98753
9.55143e-06,0.987574
9.55604e-06,0.986549
9.56066e-06,0.986002
9.56527e-06,0.986088
9.56988e-06,0.987753
9.57449e-06,0.987035
9.5791e-06,0.988432
9.58371e-06,0.989005
9.58832e-06,0.991893
9.59293e-06,0.990495
9.59755e-06,0.990602
9.60216e-06,0.9916
9.60677e-06,0.991692
9.61138e-06,0.992463
9.61599e-06,0.993674
9.6206e-06,0.994829
9.62521e-06,0.994941
9.62983e-06,0.99607
9.63444e-06,0.99611
9.63905e-06,0.996465
9.64366e-06,0.995094
