X,Resid
         219512300,-0.00635188
         219512400,-0.00638234
         219512500,0.00358787
         219512600,-0.00644121
         219512700,-0.00646954
         219512800,-0.00649706
         219512900,0.00761841
         219513000,0.00345052
         219513100,-0.00657429
         219513200,-0.0065981
         219513300,-0.00662085
         219513400,-0.00664253
         219513500,-0.00666314
         219513600,-0.00668271
         219513700,-0.00670127
         219513800,0.00742331
         219513900,0.00326459
         219514000,-0.00675104
         219514100,0.00323426
         219514200,0.00322046
         219514300,-0.00679244
         219514400,0.00733765
         219514500,0.00318432
         219514600,0.0104945
         219514700,-0.00683563
         219514800,0.00315556
         219514900,0.010468
         219515000,0.00728234
         219515100,-0.00686639
         219515200,0.0031277
         219515300,-0.00687755
         219515400,-0.00688214
         219515500,0.0104344
         219515600,-0.00688949
         219515700,-0.00689228
         219515800,0.00310548
         219515900,-0.00689621
         219516000,0.0031026
         219516100,0.00310191
         219516200,0.00724383
         219516300,0.0104224
         219516400,0.0104231
         219516500,0.00724577
         219516600,0.00310508
         219516700,-0.00689312
         219516800,0.00310902
         219516900,0.00311148
         219517000,0.00725637
         219517100,-0.00688274
         219517200,0.00726267
         219517300,-0.00687595
         219517400,-0.00687224
         219517500,0.0072738
         219517600,0.00313573
         219517700,-0.00686007
         219517800,0.00728639
         219517900,0.0104692
         219518000,-0.00684682
         219518100,0.00315774
         219518200,-0.00683768
         219518300,0.00316692
         219518400,0.010492
         219518500,-0.00682394
         219518600,0.0073227
         219518700,-0.00681494
         219518800,-0.00681046
         219518900,-0.00680598
         219519000,-0.00680149
         219519100,0.00320303
         219519200,0.00734972
         219519300,-0.0067878
         219519400,-0.00678312
         219519500,0.00322163
         219519600,-0.00677352
         219519700,0.00323143
         219519800,0.0032365
         219519900,0.00738383
         219520000,0.00738917
         219520100,-0.00674747
         219520200,0.00325819
         219520300,0.00326404
         219520400,0.00327008
         219520500,-0.00672367
         219520600,-0.0067172
         219520700,-0.0067105
         219520800,0.00329644
         219520900,0.00330365
         219521000,-0.00668887
         219521100,0.00331889
         219521200,0.00332695
         219521300,0.00333532
         219521400,0.00334401
